fp,status,id,cpu,memory,duration,source
c:\users\driesseb\dev\openeo-classification\src\openeo_classification\resources\training_data\crops_of_interest\terrascope\sampleable_polygons_year2019_zone31_id1200_p2.json,finished,bfe0bb92-640a-4f14-9a41-2c4de9b0d16f,55239 cpu-seconds,225167492 mb-seconds,683,tbd
c:\users\driesseb\dev\openeo-classification\src\openeo_classification\resources\training_data\crops_of_interest\terrascope\sampleable_polygons_year2019_zone31_id1510_p0.json,finished,3c9c74b8-0db9-4fc1-93f3-dd35debf4352,38543 cpu-seconds,156837487 mb-seconds,621,tbd
c:\users\driesseb\dev\openeo-classification\src\openeo_classification\resources\training_data\crops_of_interest\terrascope\sampleable_polygons_year2019_zone31_id1910_p0.json,finished,1f013341-9406-4319-9338-f262dd8b8732,18661 cpu-seconds,76123729 mb-seconds,295,tbd
c:\users\driesseb\dev\openeo-classification\src\openeo_classification\resources\training_data\crops_of_interest\terrascope\sampleable_polygons_year2019_zone31_id4351_p0.json,finished,6e7e3b14-0ad7-4aa9-91f9-2594284121c6,2127 cpu-seconds,7882091 mb-seconds,417,tbd
c:\users\driesseb\dev\openeo-classification\src\openeo_classification\resources\training_data\crops_of_interest\terrascope\sampleable_polygons_year2019_zone31_id5100_p0.json,finished,fa62c262-36f5-4d6e-b352-120a12a2cf63,40671 cpu-seconds,165716411 mb-seconds,529,tbd
c:\users\driesseb\dev\openeo-classification\src\openeo_classification\resources\training_data\crops_of_interest\terrascope\sampleable_polygons_year2019_zone31_id5100_p1.json,finished,b0ca44dc-cd98-437b-b5ca-63bb8dad33f9,38365 cpu-seconds,156170120 mb-seconds,600,tbd
c:\users\driesseb\dev\openeo-classification\src\openeo_classification\resources\training_data\crops_of_interest\terrascope\sampleable_polygons_year2019_zone31_id8100_p0.json,finished,0900bcce-832b-4487-8223-47ae79696a4c,26858 cpu-seconds,109376163 mb-seconds,429,tbd
c:\users\driesseb\dev\openeo-classification\src\openeo_classification\resources\training_data\crops_of_interest\terrascope\sampleable_polygons_year2017_zone31_id1110_p0.json,finished,fff6ed04-2c8f-43b8-9b33-8596ea09bf94,62482 cpu-seconds,254656318 mb-seconds,787,tbd
c:\users\driesseb\dev\openeo-classification\src\openeo_classification\resources\training_data\crops_of_interest\terrascope\sampleable_polygons_year2017_zone31_id1120_p0.json,finished,d9da8308-2ce2-4b8f-a7da-ec5bf7a592e6,13235 cpu-seconds,53967391 mb-seconds,263,tbd
c:\users\driesseb\dev\openeo-classification\src\openeo_classification\resources\training_data\crops_of_interest\terrascope\sampleable_polygons_year2017_zone31_id1200_p0.json,finished,e7eb4507-c90f-44be-b63a-7785b7f82255,73804 cpu-seconds,300776731 mb-seconds,865,tbd
c:\users\driesseb\dev\openeo-classification\src\openeo_classification\resources\training_data\crops_of_interest\terrascope\sampleable_polygons_year2017_zone31_id1200_p1.json,finished,a1a44685-59b6-4456-a152-0029289c56db,58329 cpu-seconds,237724384 mb-seconds,717,tbd
c:\users\driesseb\dev\openeo-classification\src\openeo_classification\resources\training_data\other_crops\terrascope\sampleable_polygons_year2017_zone31_id1700_p0.json,finished,c82378cb-1d4d-4856-be64-2c803cb42b44,1179 cpu-seconds,4437898 mb-seconds,196,tbd
c:\users\driesseb\dev\openeo-classification\src\openeo_classification\resources\training_data\other_crops\terrascope\sampleable_polygons_year2017_zone31_id2120_p0.json,finished,00260b8f-14a6-4d39-9ad0-17bbec91047f,1688 cpu-seconds,6436666 mb-seconds,244,tbd
c:\users\driesseb\dev\openeo-classification\src\openeo_classification\resources\training_data\other_crops\terrascope\sampleable_polygons_year2017_zone31_id2130_p0.json,finished,52066ae4-aa50-4df4-a14e-630afb3bb228,8031 cpu-seconds,32363816 mb-seconds,311,tbd
c:\users\driesseb\dev\openeo-classification\src\openeo_classification\resources\training_data\other_crops\terrascope\sampleable_polygons_year2017_zone31_id2140_p0.json,finished,2bf3a793-1c67-477a-b8a7-668d0e52cb51,7291 cpu-seconds,29266820 mb-seconds,337,tbd
c:\users\driesseb\dev\openeo-classification\src\openeo_classification\resources\training_data\other_crops\terrascope\sampleable_polygons_year2017_zone31_id2150_p0.json,finished,be8576e4-b7d8-4eea-90f5-8c370e017d00,1365 cpu-seconds,5206321 mb-seconds,199,tbd
c:\users\driesseb\dev\openeo-classification\src\openeo_classification\resources\training_data\other_crops\terrascope\sampleable_polygons_year2017_zone31_id2160_p0.json,finished,b0e24538-f0c0-4ed6-b31f-76e7f190372c,14964 cpu-seconds,60803272 mb-seconds,356,tbd
c:\users\driesseb\dev\openeo-classification\src\openeo_classification\resources\training_data\other_crops\terrascope\sampleable_polygons_year2017_zone31_id2170_p0.json,finished,34be1539-572e-4465-823d-ba7ed992a322,15405 cpu-seconds,62648266 mb-seconds,333,tbd
c:\users\driesseb\dev\openeo-classification\src\openeo_classification\resources\training_data\other_crops\terrascope\sampleable_polygons_year2017_zone31_id2260_p0.json,finished,0ebe2ab1-fd0f-4bb1-a2b6-1a6da0b51219,5434 cpu-seconds,21837391 mb-seconds,253,tbd
c:\users\driesseb\dev\openeo-classification\src\openeo_classification\resources\training_data\other_crops\terrascope\sampleable_polygons_year2017_zone31_id2290_p0.json,finished,d5f1a188-4bd3-4422-b8ca-1ecc508c711d,1646 cpu-seconds,6200471 mb-seconds,271,tbd
c:\users\driesseb\dev\openeo-classification\src\openeo_classification\resources\training_data\other_crops\terrascope\sampleable_polygons_year2017_zone31_id2310_p0.json,finished,28ce94bf-872e-4548-9c1a-116b25843e05,8984 cpu-seconds,36417417 mb-seconds,258,tbd
c:\users\driesseb\dev\openeo-classification\src\openeo_classification\resources\training_data\other_crops\terrascope\sampleable_polygons_year2017_zone31_id2320_p0.json,finished,840b0be0-6e1b-4ac6-b641-500f8affb671,2981 cpu-seconds,11659388 mb-seconds,267,tbd
c:\users\driesseb\dev\openeo-classification\src\openeo_classification\resources\training_data\other_crops\terrascope\sampleable_polygons_year2017_zone31_id2340_p0.json,finished,ae4adabe-a2e0-4027-bc4d-135a67355a5e,6022 cpu-seconds,23667649 mb-seconds,507,tbd
c:\users\driesseb\dev\openeo-classification\src\openeo_classification\resources\training_data\other_crops\terrascope\sampleable_polygons_year2017_zone31_id2350_p0.json,finished,b19a952d-9a23-40fc-94f1-c8fcdf179eea,8227 cpu-seconds,32692130 mb-seconds,548,tbd
c:\users\driesseb\dev\openeo-classification\src\openeo_classification\resources\training_data\other_crops\terrascope\sampleable_polygons_year2017_zone31_id2390_p0.json,finished,04256b47-0ef2-486d-b5e2-078333d24696,3434 cpu-seconds,13265686 mb-seconds,497,tbd
c:\users\driesseb\dev\openeo-classification\src\openeo_classification\resources\training_data\other_crops\terrascope\sampleable_polygons_year2017_zone31_id2900_p0.json,finished,4d423e04-8bc4-4d4d-beaa-fed673f01900,20278 cpu-seconds,82659646 mb-seconds,291,tbd
c:\users\driesseb\dev\openeo-classification\src\openeo_classification\resources\training_data\other_crops\terrascope\sampleable_polygons_year2017_zone31_id4330_p0.json,finished,0114e1ea-6fd4-451b-9b2a-70796534bd15,3811 cpu-seconds,14954887 mb-seconds,343,tbd
c:\users\driesseb\dev\openeo-classification\src\openeo_classification\resources\training_data\other_crops\terrascope\sampleable_polygons_year2017_zone31_id7100_p0.json,finished,509b966e-4643-45e7-80b1-110b89f6facf,31626 cpu-seconds,128840221 mb-seconds,477,tbd
c:\users\driesseb\dev\openeo-classification\src\openeo_classification\resources\training_data\other_crops\terrascope\sampleable_polygons_year2017_zone31_id7200_p0.json,finished,97a63f1a-9733-4ea7-b6d7-2093d521eb6d,2273 cpu-seconds,8705466 mb-seconds,310,tbd
c:\users\driesseb\dev\openeo-classification\src\openeo_classification\resources\training_data\other_crops\terrascope\sampleable_polygons_year2017_zone31_id7700_p0.json,finished,5a60420e-4cbd-4f88-ba44-9c27d933e26e,23273 cpu-seconds,94689071 mb-seconds,401,tbd
c:\users\driesseb\dev\openeo-classification\src\openeo_classification\resources\training_data\other_crops\terrascope\sampleable_polygons_year2017_zone31_id7900_p0.json,finished,b648cc3c-041e-4628-84d3-2d5c8f5925ce,36370 cpu-seconds,148090710 mb-seconds,542,tbd
c:\users\driesseb\dev\openeo-classification\src\openeo_classification\resources\training_data\other_crops\terrascope\sampleable_polygons_year2017_zone31_id9120_p0.json,finished,72a14eb6-0492-418d-b535-f61530f9af5c,43418 cpu-seconds,176899025 mb-seconds,598,tbd
c:\users\driesseb\dev\openeo-classification\src\openeo_classification\resources\training_data\other_crops\terrascope\sampleable_polygons_year2017_zone31_id9213_p0.json,finished,609e0200-5f1c-47c9-8873-4cd51d28b862,28661 cpu-seconds,116819582 mb-seconds,449,tbd
c:\users\driesseb\dev\openeo-classification\src\openeo_classification\resources\training_data\other_crops\terrascope\sampleable_polygons_year2017_zone31_id9510_p0.json,finished,8f57815e-91a5-49e0-8652-a336f67e6891,30354 cpu-seconds,123786265 mb-seconds,454,tbd
